Word,Phonetic,Meanings,Examples
card,kɑːd,"noun - a piece of thick, stiff paper or thin pasteboard, in particular one used for writing or printing on. a small rectangular piece of plastic containing personal data in a machine-readable form and used to obtain cash or credit or to pay for a phone call, gain entry to a room or building, etc. a playing card. short for expansion card. documents relating to an employee, especially for tax and national insurance, held by the employer. a programme of events at a race meeting. a person regarded as odd or amusing. verb - write (something) on a card, especially for indexing. check the identity card of (someone), in particular as evidence of legal drinking age. (of an amateur athlete) be in receipt of government funding to pursue training. ","some notes jotted down on a card;your card cannot be used to withdraw more than your daily limit from cash machines;a pack of cards;null;null;a nine-race card;He laughed: �?You're a card, you know’;null;we were carded at the entrance to the club;in 1986–7 all carded athletes received a basic $450 monthly allowance;"
card,kɑːd,"verb - comb and clean (raw wool, hemp fibres, or similar material) with a sharp-toothed instrument in order to disentangle the fibres before spinning. noun - a toothed implement or machine for carding wool. ","the wool from the sheep was carded and spun;null;"
Card.,null,"abbreviation - Cardinal. ","null;"

cardboard,ˈkɑːdbɔːd,"noun - pasteboard or stiff paper. (of a character in a literary work) lacking depth and realism; artificial. ","a cardboard box;with its superficial, cardboard characters, the novel was typical of her work;"

card,kɑːd,"noun - a piece of thick, stiff paper or thin pasteboard, in particular one used for writing or printing on. a small rectangular piece of plastic containing personal data in a machine-readable form and used to obtain cash or credit or to pay for a phone call, gain entry to a room or building, etc. a playing card. short for expansion card. documents relating to an employee, especially for tax and national insurance, held by the employer. a programme of events at a race meeting. a person regarded as odd or amusing. verb - write (something) on a card, especially for indexing. check the identity card of (someone), in particular as evidence of legal drinking age. (of an amateur athlete) be in receipt of government funding to pursue training. ","some notes jotted down on a card;your card cannot be used to withdraw more than your daily limit from cash machines;a pack of cards;null;null;a nine-race card;He laughed: �?You're a card, you know’;null;we were carded at the entrance to the club;in 1986–7 all carded athletes received a basic $450 monthly allowance;"
card,kɑːd,"verb - comb and clean (raw wool, hemp fibres, or similar material) with a sharp-toothed instrument in order to disentangle the fibres before spinning. noun - a toothed implement or machine for carding wool. ","the wool from the sheep was carded and spun;null;"

care,kɛː,"noun - the provision of what is necessary for the health, welfare, maintenance, and protection of someone or something. serious attention or consideration applied to doing something correctly or to avoid damage or risk. verb - feel concern or interest; attach importance to something. look after and provide for the needs of. ","the care of the elderly;he planned his departure with great care;they don't care about human life;he has numerous animals to care for;"

care,kɛː,"verb - feel concern or interest; attach importance to something. look after and provide for the needs of. ","they don't care about human life;he has numerous animals to care for;"

career,kəˈrɪə,"noun - an occupation undertaken for a significant period of a person's life and with opportunities for progress. verb - move swiftly and in an uncontrolled way. ","he seemed destined for a career as an engineer like his father;the coach careered across the road and went through a hedge;"

careful,ˈkɛːfʊl,"adjective - making sure of avoiding potential danger, mishap, or harm; cautious. done with or showing thought and attention. ","I begged him to be more careful;a careful consideration of the facts;"

carefully,ˈkɛəf(ə)li,"adverb - in a way that deliberately avoids harm or errors; cautiously. ","they must be carefully handled and stored;"

careless,ˈkɛːləs,"adjective - not giving sufficient attention or thought to avoiding harm or errors. ","she had been careless and had left the window unlocked;"

carelessly,ˈkɛəlɪsli,"adverb - in a casual or reckless way; inattentively. ","roadsides are full of litter thrown carelessly by passers-by;"

care,kɛː,"noun - serious attention or consideration applied to doing something correctly or to avoid damage or risk. verb - feel concern or interest; attach importance to something. look after and provide for the needs of. ","he planned his departure with great care;they don't care about human life;he has numerous animals to care for;"

caressing,kəˈrɛsɪŋ,"adjective - stroking gently or lovingly. ","his caressing touch;"
caress,kəˈrɛs,"verb - touch or stroke gently or lovingly. ","she caressed the girl's forehead;"

carpet,ˈkɑːpɪt,"noun - a floor covering made from thick woven fabric. a slender moth marked with undulating bands of colour across the wings. verb - cover with carpet. reprimand severely. ","the house has fitted carpets throughout;null;the stairs were carpeted in a lovely shade of red;the Chancellor of the Exchequer carpeted the bank bosses;"

carpet,ˈkɑːpɪt,"noun - a floor covering made from thick woven fabric. a slender moth marked with undulating bands of colour across the wings. verb - cover with carpet. reprimand severely. ","the house has fitted carpets throughout;null;the stairs were carpeted in a lovely shade of red;the Chancellor of the Exchequer carpeted the bank bosses;"

carriage,ˈkarɪdʒ,"noun - any of the separate sections of a train that carry passengers. the conveying of goods or passengers from one place to another. a moving part of a machine that carries other parts into the required position. a person's bearing or deportment. ","the first-class carriages;the carriage of bikes on public transport;a typewriter carriage;her carriage was graceful, her movements quick and deft;"
